Loaded module: cuda/11.7

[INFO] Using global_seed=12

[INFO] Training EVAE: decoders=1, rerun=0
Epoch  91 | Train: 143.0737 | Val: 142.5691
Epoch 100 | Train: 142.0341 | Val: 141.8206

[INFO] Training EVAE: decoders=3, rerun=1
Epoch   1 | Train: 344.6228 | Val: 285.9079
Epoch  11 | Train: 164.2765 | Val: 169.4995
Epoch  21 | Train: 159.2993 | Val: 160.0373
Epoch  31 | Train: 157.5005 | Val: 156.6957
Epoch  41 | Train: 155.1301 | Val: 154.6132
Epoch  51 | Train: 152.2038 | Val: 151.7039
Epoch  61 | Train: 150.0879 | Val: 149.6684
Epoch  71 | Train: 148.3260 | Val: 147.9162
Epoch  81 | Train: 146.9364 | Val: 146.3846
Epoch  91 | Train: 145.3853 | Val: 144.9676
Epoch 100 | Train: 144.0436 | Val: 143.8604

[INFO] Training EVAE: decoders=3, rerun=2
Epoch   1 | Train: 357.8852 | Val: 274.3711
Epoch  11 | Train: 163.4483 | Val: 167.8073
Epoch  21 | Train: 157.6929 | Val: 158.4483
Epoch  31 | Train: 155.7804 | Val: 154.9920
Epoch  41 | Train: 153.2030 | Val: 152.2587
Epoch  51 | Train: 150.4691 | Val: 149.8373
Epoch  61 | Train: 148.6168 | Val: 148.0788
Epoch  71 | Train: 146.9811 | Val: 146.5495
Epoch  81 | Train: 145.2117 | Val: 144.8194
Epoch  91 | Train: 143.6534 | Val: 143.3764
Epoch 100 | Train: 142.3291 | Val: 142.3801

[INFO] Training EVAE: decoders=3, rerun=3
Epoch   1 | Train: 301.9759 | Val: 309.5673
Epoch  11 | Train: 160.3865 | Val: 164.1098
Epoch  21 | Train: 157.3799 | Val: 158.2151
Epoch  31 | Train: 155.3933 | Val: 154.7168
Epoch  41 | Train: 153.1407 | Val: 152.5544
Epoch  51 | Train: 150.7685 | Val: 150.3319
Epoch  61 | Train: 149.1790 | Val: 148.6768
Epoch  71 | Train: 147.7908 | Val: 147.1009
Epoch  81 | Train: 146.4173 | Val: 145.7925
Epoch  91 | Train: 145.1912 | Val: 144.9068
Epoch 100 | Train: 144.2233 | Val: 144.1950

[INFO] Training EVAE: decoders=3, rerun=4
Epoch   1 | Train: 311.3904 | Val: 309.8891
Epoch  11 | Train: 161.3568 | Val: 165.7568
Epoch  21 | Train: 157.4070 | Val: 158.5746
Epoch  31 | Train: 155.4534 | Val: 154.7142
Epoch  41 | Train: 153.1860 | Val: 152.5690
Epoch  51 | Train: 149.9468 | Val: 149.2885
Epoch  61 | Train: 147.7688 | Val: 147.0422
Epoch  71 | Train: 146.2226 | Val: 145.5759
Epoch  81 | Train: 144.8834 | Val: 144.3285
Epoch  91 | Train: 143.7875 | Val: 143.2305
Epoch 100 | Train: 142.7117 | Val: 142.4982

[INFO] Training EVAE: decoders=3, rerun=5
Epoch   1 | Train: 328.4317 | Val: 322.6310
Epoch  11 | Train: 162.5152 | Val: 166.2939
Epoch  21 | Train: 158.8218 | Val: 159.4351
Epoch  31 | Train: 157.0781 | Val: 156.0563
Epoch  41 | Train: 153.7371 | Val: 152.6438
Epoch  51 | Train: 150.3982 | Val: 149.5897
Epoch  61 | Train: 148.0269 | Val: 147.3903
Epoch  71 | Train: 146.2642 | Val: 145.6285
Epoch  81 | Train: 144.9171 | Val: 144.3987
Epoch  91 | Train: 143.6629 | Val: 143.1524
Epoch 100 | Train: 142.5396 | Val: 142.0271

[INFO] Training EVAE: decoders=3, rerun=6
Epoch   1 | Train: 322.4167 | Val: 341.9227
Epoch  11 | Train: 161.4044 | Val: 165.9849
Epoch  21 | Train: 157.7010 | Val: 158.7577
Epoch  31 | Train: 156.3355 | Val: 155.4021
Epoch  41 | Train: 153.3199 | Val: 152.8065
Epoch  51 | Train: 150.3016 | Val: 149.9272
Epoch  61 | Train: 148.2574 | Val: 147.5810
Epoch  71 | Train: 146.5342 | Val: 145.8574
Epoch  81 | Train: 145.0763 | Val: 144.6758
Epoch  91 | Train: 143.8313 | Val: 143.5304
Epoch 100 | Train: 143.0205 | Val: 142.9745

[INFO] Training EVAE: decoders=3, rerun=7
Epoch   1 | Train: 366.9122 | Val: 277.3674
Epoch  11 | Train: 170.6687 | Val: 174.0089
Epoch  21 | Train: 161.4312 | Val: 162.4791
Epoch  31 | Train: 159.2145 | Val: 158.3378
