Loaded module: cuda/11.7

[INFO] Optimizing splines for rerun=0, decoder=0
  Step 200 | Energy: 23.1544
  Step 300 | Energy: 21.6925
  Step 400 | Energy: 20.5269
  Step 500 | Energy: 19.8359
  Step 600 | Energy: 19.3410
  Step 700 | Energy: 18.8886
  Step 800 | Energy: 18.5165
  Step 900 | Energy: 18.1524
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun4_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=5, decoder=0
  Step 0 | Energy: 45.7709
  Step 100 | Energy: 41.6916
  Step 200 | Energy: 37.8476
  Step 300 | Energy: 35.0851
  Step 400 | Energy: 32.6967
  Step 500 | Energy: 31.0640
  Step 600 | Energy: 29.9444
  Step 700 | Energy: 29.1606
  Step 800 | Energy: 28.6309
  Step 900 | Energy: 28.2508
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=5, decoder=1
  Step 0 | Energy: 39.0592
  Step 100 | Energy: 35.6013
  Step 200 | Energy: 32.4034
  Step 300 | Energy: 29.2704
  Step 400 | Energy: 26.9537
  Step 500 | Energy: 25.3627
  Step 600 | Energy: 24.5903
  Step 700 | Energy: 24.0241
  Step 800 | Energy: 23.6812
  Step 900 | Energy: 23.4160
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec1.pt | 44 splines

[INFO] Optimizing splines for rerun=6, decoder=0
  Step 0 | Energy: 40.7441
  Step 100 | Energy: 35.6278
  Step 200 | Energy: 32.1990
  Step 300 | Energy: 29.6874
  Step 400 | Energy: 27.8778
  Step 500 | Energy: 26.6003
  Step 600 | Energy: 25.6946
  Step 700 | Energy: 25.0264
  Step 800 | Energy: 24.5233
  Step 900 | Energy: 24.1656
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=6, decoder=1
  Step 0 | Energy: 36.9410
  Step 100 | Energy: 32.7410
  Step 200 | Energy: 29.9128
  Step 300 | Energy: 27.9206
  Step 400 | Energy: 26.5511
  Step 500 | Energy: 25.5656
  Step 600 | Energy: 24.8826
  Step 700 | Energy: 24.4715
  Step 800 | Energy: 24.2400
  Step 900 | Energy: 24.0925
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=0
  Step 0 | Energy: 45.5217
  Step 100 | Energy: 41.3487
  Step 200 | Energy: 37.6290
  Step 300 | Energy: 34.4450
  Step 400 | Energy: 31.5891
  Step 500 | Energy: 29.3240
  Step 600 | Energy: 27.6667
  Step 700 | Energy: 26.3857
  Step 800 | Energy: 25.4864
  Step 900 | Energy: 24.9093
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=1
  Step 0 | Energy: 45.9406
  Step 100 | Energy: 41.6291
  Step 200 | Energy: 38.0182
  Step 300 | Energy: 34.8783
  Step 400 | Energy: 32.1765
  Step 500 | Energy: 30.0247
  Step 600 | Energy: 28.3480
  Step 700 | Energy: 27.1095
  Step 800 | Energy: 26.1575
  Step 900 | Energy: 25.4924
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=8, decoder=0
  Step 0 | Energy: 29.0396
  Step 100 | Energy: 26.3379
  Step 200 | Energy: 24.3862
  Step 300 | Energy: 23.4807
  Step 400 | Energy: 22.7411
  Step 500 | Energy: 22.0784
  Step 600 | Energy: 21.5681
  Step 700 | Energy: 21.2347
  Step 800 | Energy: 21.0237
  Step 900 | Energy: 20.8683
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun8_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=8, decoder=1
  Step 0 | Energy: 24.4443
  Step 100 | Energy: 22.5180
  Step 200 | Energy: 20.3826
  Step 300 | Energy: 18.6903
  Step 400 | Energy: 17.3951
  Step 500 | Energy: 16.7500
  Step 600 | Energy: 16.3992
  Step 700 | Energy: 16.1632
  Step 800 | Energy: 15.8964
  Step 900 | Energy: 15.6799
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun8_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=9, decoder=0
  Step 0 | Energy: 24.3051
  Step 100 | Energy: 22.9606
  Step 200 | Energy: 22.0125
  Step 300 | Energy: 21.3253
  Step 400 | Energy: 20.7747
  Step 500 | Energy: 20.3483
  Step 600 | Energy: 20.0739
  Step 700 | Energy: 19.8883
  Step 800 | Energy: 19.7227
  Step 900 | Energy: 19.5170
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun9_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=9, decoder=1
  Step 0 | Energy: 28.5765
  Step 100 | Energy: 27.2223
  Step 200 | Energy: 26.2168
  Step 300 | Energy: 25.4313
  Step 400 | Energy: 24.7612
  Step 500 | Energy: 24.0826
  Step 600 | Energy: 23.4727
  Step 700 | Energy: 23.1083
  Step 800 | Energy: 22.8676
  Step 900 | Energy: 22.7357
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun9_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=0, decoder=0
  Step 0 | Energy: 31.0669
  Step 100 | Energy: 29.5140
  Step 200 | Energy: 28.4194
  Step 300 | Energy: 27.6699
  Step 400 | Energy: 27.2293
  Step 500 | Energy: 26.9428
  Step 600 | Energy: 26.7880
  Step 700 | Energy: 26.7178
  Step 800 | Energy: 26.6707
  Step 900 | Energy: 26.6449
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=0, decoder=1
  Step 0 | Energy: 29.6600
  Step 100 | Energy: 28.2436
  Step 200 | Energy: 27.3408
  Step 300 | Energy: 26.8114
  Step 400 | Energy: 26.4796
  Step 500 | Energy: 26.2923
  Step 600 | Energy: 26.1950
  Step 700 | Energy: 26.1376
  Step 800 | Energy: 26.0898
  Step 900 | Energy: 26.0475
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=0, decoder=2
  Step 0 | Energy: 31.8438
  Step 100 | Energy: 30.2393
  Step 200 | Energy: 29.1369
  Step 300 | Energy: 28.5083
  Step 400 | Energy: 28.1668
  Step 500 | Energy: 27.9744
  Step 600 | Energy: 27.8616
  Step 700 | Energy: 27.7833
  Step 800 | Energy: 27.7334
  Step 900 | Energy: 27.7010
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun0_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=1, decoder=0
  Step 0 | Energy: 30.0528
  Step 100 | Energy: 27.0003
  Step 200 | Energy: 25.2752
  Step 300 | Energy: 24.1865
  Step 400 | Energy: 23.3675
  Step 500 | Energy: 22.7584
  Step 600 | Energy: 22.2783
  Step 700 | Energy: 21.9151
  Step 800 | Energy: 21.6514
  Step 900 | Energy: 21.4466
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=1, decoder=1
  Step 0 | Energy: 31.7322
  Step 100 | Energy: 29.0202
  Step 200 | Energy: 27.1359
  Step 300 | Energy: 25.8189
  Step 400 | Energy: 24.7585
  Step 500 | Energy: 24.0058
  Step 600 | Energy: 23.4134
  Step 700 | Energy: 22.9356
  Step 800 | Energy: 22.5687
  Step 900 | Energy: 22.3256
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec1.pt | 44 splines

[INFO] Optimizing splines for rerun=1, decoder=2
  Step 0 | Energy: 32.0614
  Step 100 | Energy: 28.6615
  Step 200 | Energy: 26.4968
  Step 300 | Energy: 25.0423
  Step 400 | Energy: 23.9866
  Step 500 | Energy: 23.2429
  Step 600 | Energy: 22.6836
  Step 700 | Energy: 22.2427
  Step 800 | Energy: 21.9605
  Step 900 | Energy: 21.7647
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun1_dec2.pt | 44 splines

[INFO] Optimizing splines for rerun=2, decoder=0
  Step 0 | Energy: 41.4522
  Step 100 | Energy: 39.5891
  Step 200 | Energy: 38.0720
  Step 300 | Energy: 36.7471
  Step 400 | Energy: 35.7393
  Step 500 | Energy: 35.0638
  Step 600 | Energy: 34.5973
  Step 700 | Energy: 34.2738
  Step 800 | Energy: 34.0370
  Step 900 | Energy: 33.7553
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=2, decoder=1
  Step 0 | Energy: 39.2931
  Step 100 | Energy: 37.8819
  Step 200 | Energy: 36.8808
  Step 300 | Energy: 36.0691
  Step 400 | Energy: 35.4555
  Step 500 | Energy: 34.9858
  Step 600 | Energy: 34.6451
  Step 700 | Energy: 34.3899
  Step 800 | Energy: 34.1936
  Step 900 | Energy: 34.0857
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=2, decoder=2
  Step 0 | Energy: 36.9678
  Step 100 | Energy: 35.2787
  Step 200 | Energy: 33.8216
  Step 300 | Energy: 32.6891
  Step 400 | Energy: 31.8611
  Step 500 | Energy: 31.1868
  Step 600 | Energy: 30.6431
  Step 700 | Energy: 30.1498
  Step 800 | Energy: 29.7333
  Step 900 | Energy: 29.3852
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun2_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=0
  Step 0 | Energy: 31.7134
  Step 100 | Energy: 29.6479
  Step 200 | Energy: 28.1071
  Step 300 | Energy: 27.0414
  Step 400 | Energy: 26.3976
  Step 500 | Energy: 26.0528
  Step 600 | Energy: 25.8552
  Step 700 | Energy: 25.7377
  Step 800 | Energy: 25.6564
  Step 900 | Energy: 25.5946
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun3_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=1
  Step 0 | Energy: 32.3105
  Step 100 | Energy: 30.6521
  Step 200 | Energy: 29.4300
  Step 300 | Energy: 28.6227
  Step 400 | Energy: 28.1115
  Step 500 | Energy: 27.7818
  Step 600 | Energy: 27.6013
  Step 700 | Energy: 27.5075
  Step 800 | Energy: 27.4549
  Step 900 | Energy: 27.4106
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun3_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=3, decoder=2
  Step 0 | Energy: 33.6166
  Step 100 | Energy: 31.5472
  Step 200 | Energy: 30.0903
  Step 300 | Energy: 29.1536
  Step 400 | Energy: 28.6179
  Step 500 | Energy: 28.3050
  Step 600 | Energy: 28.1252
  Step 700 | Energy: 27.9375
  Step 800 | Energy: 27.7304
  Step 900 | Energy: 27.5936
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun3_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=4, decoder=0
  Step 0 | Energy: 53.1290
  Step 100 | Energy: 49.1744
  Step 200 | Energy: 45.8990
  Step 300 | Energy: 43.0811
  Step 400 | Energy: 40.7816
  Step 500 | Energy: 38.9185
  Step 600 | Energy: 37.4643
  Step 700 | Energy: 36.3009
  Step 800 | Energy: 35.3670
  Step 900 | Energy: 34.6450
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun4_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=4, decoder=1
  Step 0 | Energy: 49.5820
  Step 100 | Energy: 45.2239
  Step 200 | Energy: 41.8375
  Step 300 | Energy: 39.0383
  Step 400 | Energy: 36.7533
  Step 500 | Energy: 34.9985
  Step 600 | Energy: 33.6653
  Step 700 | Energy: 32.6873
  Step 800 | Energy: 31.9415
  Step 900 | Energy: 31.4032
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun4_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=4, decoder=2
  Step 0 | Energy: 44.6524
  Step 100 | Energy: 41.4256
  Step 200 | Energy: 38.7098
  Step 300 | Energy: 36.3371
  Step 400 | Energy: 34.3966
  Step 500 | Energy: 32.8116
  Step 600 | Energy: 31.5993
  Step 700 | Energy: 30.6911
  Step 800 | Energy: 30.0257
  Step 900 | Energy: 29.5228
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun4_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=5, decoder=0
  Step 0 | Energy: 46.7408
  Step 100 | Energy: 44.1932
  Step 200 | Energy: 42.1128
  Step 300 | Energy: 40.4693
  Step 400 | Energy: 39.1927
  Step 500 | Energy: 38.2399
  Step 600 | Energy: 37.5183
  Step 700 | Energy: 37.0325
  Step 800 | Energy: 36.7154
  Step 900 | Energy: 36.4609
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec0.pt | 44 splines

[INFO] Optimizing splines for rerun=5, decoder=1
  Step 0 | Energy: 46.6597
  Step 100 | Energy: 43.6070
  Step 200 | Energy: 41.0987
  Step 300 | Energy: 39.1271
  Step 400 | Energy: 37.6524
  Step 500 | Energy: 36.5301
  Step 600 | Energy: 35.6736
  Step 700 | Energy: 35.0922
  Step 800 | Energy: 34.6940
  Step 900 | Energy: 34.4259
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec1.pt | 44 splines

[INFO] Optimizing splines for rerun=5, decoder=2
  Step 0 | Energy: 46.8135
  Step 100 | Energy: 43.5800
  Step 200 | Energy: 41.0255
  Step 300 | Energy: 39.0103
  Step 400 | Energy: 37.3648
  Step 500 | Energy: 36.1623
  Step 600 | Energy: 35.1366
  Step 700 | Energy: 34.4773
  Step 800 | Energy: 34.0538
  Step 900 | Energy: 33.7847
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun5_dec2.pt | 44 splines

[INFO] Optimizing splines for rerun=6, decoder=0
  Step 0 | Energy: 34.2404
  Step 100 | Energy: 32.3167
  Step 200 | Energy: 31.0208
  Step 300 | Energy: 30.1082
  Step 400 | Energy: 29.5447
  Step 500 | Energy: 29.1928
  Step 600 | Energy: 28.9412
  Step 700 | Energy: 28.7694
  Step 800 | Energy: 28.6639
  Step 900 | Energy: 28.5929
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=6, decoder=1
  Step 0 | Energy: 33.8034
  Step 100 | Energy: 31.6135
  Step 200 | Energy: 30.1231
  Step 300 | Energy: 29.0991
  Step 400 | Energy: 28.4340
  Step 500 | Energy: 27.9841
  Step 600 | Energy: 27.6906
  Step 700 | Energy: 27.5175
  Step 800 | Energy: 27.4035
  Step 900 | Energy: 27.3349
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=6, decoder=2
  Step 0 | Energy: 34.6291
  Step 100 | Energy: 32.2119
  Step 200 | Energy: 30.6140
  Step 300 | Energy: 29.5053
  Step 400 | Energy: 28.8122
  Step 500 | Energy: 28.3960
  Step 600 | Energy: 28.1398
  Step 700 | Energy: 27.9771
  Step 800 | Energy: 27.8734
  Step 900 | Energy: 27.7977
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun6_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=0
  Step 0 | Energy: 34.2690
  Step 100 | Energy: 32.4083
  Step 200 | Energy: 30.9474
  Step 300 | Energy: 29.8109
  Step 400 | Energy: 28.9627
  Step 500 | Energy: 28.3522
  Step 600 | Energy: 27.8943
  Step 700 | Energy: 27.4886
  Step 800 | Energy: 27.2424
  Step 900 | Energy: 27.0694
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec0.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=1
  Step 0 | Energy: 36.8505
  Step 100 | Energy: 35.0076
  Step 200 | Energy: 33.5288
  Step 300 | Energy: 32.4404
  Step 400 | Energy: 31.7446
  Step 500 | Energy: 31.2986
  Step 600 | Energy: 30.9984
  Step 700 | Energy: 30.7569
  Step 800 | Energy: 30.5814
  Step 900 | Energy: 30.4430
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec1.pt | 45 splines

[INFO] Optimizing splines for rerun=7, decoder=2
  Step 0 | Energy: 34.0430
  Step 100 | Energy: 32.3324
  Step 200 | Energy: 31.1005
  Step 300 | Energy: 30.1771
  Step 400 | Energy: 29.4706
  Step 500 | Energy: 28.9442
  Step 600 | Energy: 28.5689
  Step 700 | Energy: 28.3415
  Step 800 | Energy: 28.1908
  Step 900 | Energy: 28.0760
[OK] Saved: src/artifacts/ensemble/spline_ensemble_optimized_seed12_p10_rerun7_dec2.pt | 45 splines

[INFO] Optimizing splines for rerun=8, decoder=0
  Step 0 | Energy: 38.2432
  Step 100 | Energy: 34.4001
  Step 200 | Energy: 31.6891
  Step 300 | Energy: 29.6948
  Step 400 | Energy: 28.3959
  Step 500 | Energy: 27.5658
  Step 600 | Energy: 27.0749
  Step 700 | Energy: 26.7814
  Step 800 | Energy: 26.5865
  Step 900 | Energy: 26.4467
